symbol,day,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,shares,stop_price,target_price,risk_per_share,holding_minutes,gross_pnl,commission,reg_fees,net_pnl,r_multiple,relative_volume,or_width,equity_before,equity_after
QQQ,2024-07-29 00:00:00-04:00,long,2024-07-29 09:46:00-04:00,462.815052,2024-07-29 10:12:00-04:00,460.625676,stop,31,460.81,466.82515599999994,2.005051999999978,27,-67.87065599999943,0.31,0.114235167648,-68.29489116764744,-1.0987550474541339,1.0671293651813727,2.8600000000000136,58219.64386217812,58151.34897101047
META,2024-07-29 00:00:00-04:00,long,2024-07-29 10:41:00-04:00,468.047144,2024-07-29 11:22:00-04:00,464.809002,stop,31,464.995,474.151432,3.0521439999999984,42,-100.38240199999944,0.31,0.115272632496,-100.80767463249545,-1.0654348130415812,0.6082458333989292,6.1299999999999955,58151.34897101047,58050.541296377975
NVDA,2024-07-29 00:00:00-04:00,short,2024-07-29 10:56:00-04:00,113.00478,2024-07-29 11:55:00-04:00,112.815108,time,128,114.57,109.87434,1.5652199999999965,60,24.278016000000207,1.28,0.11571689471999999,22.882299105280207,0.11421267410332223,1.0051444363172473,2.8800000000000097,58050.541296377975,58073.423595483255
QQQ,2024-07-30 00:00:00-04:00,short,2024-07-30 09:46:00-04:00,459.5661,2024-07-30 10:37:00-04:00,456.94100331999994,target,31,460.97,456.75829999999996,1.4039000000000215,52,81.37799708000216,0.31,0.1139723928,80.95402468720216,1.8601183497400313,0.6601981003365217,1.5,58073.423595483255,58154.37762017046
NVDA,2024-07-30 00:00:00-04:00,short,2024-07-30 09:46:00-04:00,108.676512,2024-07-30 10:45:00-04:00,107.252884,time,133,110.5,105.02953600000001,1.8234879999999976,60,189.34252400000105,1.33,0.115631808768,187.89689219123304,0.7747561749263004,0.8595007549983823,2.6200000000000045,58154.37762017046,58342.27451236169
META,2024-07-30 00:00:00-04:00,short,2024-07-30 09:55:00-04:00,462.404964,2024-07-30 10:54:00-04:00,465.626176,time,31,466.35,454.514892,3.945036000000016,60,-99.85757199999938,0.31,0.114676431072,-100.28224843107138,-0.8199953662557115,0.6214779534626174,6.4599999999999795,58342.27451236169,58241.99226393062
SPY,2024-07-30 00:00:00-04:00,short,2024-07-30 09:56:00-04:00,532.966728,2024-07-30 10:55:00-04:00,532.01272,time,27,533.94,531.0201839999999,0.9732720000000654,60,25.758216000001198,0.27,0.11512081324799998,25.373095186753197,0.9655515274003373,1.1071339629061732,1.4399999999999409,58241.99226393062,58267.36535911737
NVDA,2024-07-31 00:00:00-04:00,long,2024-07-31 09:54:00-04:00,114.065608,2024-07-31 10:53:00-04:00,114.034368,time,127,112.305,117.58682399999998,1.7606079999999906,60,-3.967479999999597,1.27,0.11585891788799998,-5.353338917887596,-0.023941885385047122,2.123448211316259,3.2099999999999937,58267.36535911737,58262.01202019949
QQQ,2024-07-31 00:00:00-04:00,long,2024-07-31 10:02:00-04:00,464.39568399999996,2024-07-31 11:01:00-04:00,464.853984,time,31,462.79999999999995,467.58705199999997,1.5956840000000057,60,14.207300000002022,0.31,0.11528378803200001,13.78201621197002,0.2786147934854668,2.375756261787075,2.4599999999999795,58262.01202019949,58275.794036411455
META,2024-07-31 00:00:00-04:00,long,2024-07-31 10:02:00-04:00,469.477716,2024-07-31 11:01:00-04:00,469.51212,time,31,466.245,475.94314799999995,3.232715999999982,60,1.0665239999998448,0.31,0.11643900575999999,0.6400849942398448,0.006387168882139695,0.8952491113096083,5.210000000000036,58275.794036411455,58276.43412140569
